vendor,model,cpu,memory,disk,bandwidth,traffic,renewalCycle,renewalAmount,currency
搬瓦工,SPECIAL 80G KVM PROMO V5 · SINGAPORE CN2 GIA,4C,4096M,80000G,1500M,1000T,半年付,459.99,USD 美元
搬瓦工,SPECIAL 80G KVM PROMO V5 · SINGAPORE CN2 GIA,4C,4096M,80000G,1500M,1000T,年付,869.99,USD 美元
搬瓦工,SPECIAL 160G KVM PROMO V5 · SINGAPORE CN2 GIA,6C,8192M,160000G,2500M,2000T,月付,165.99,USD 美元
搬瓦工,SPECIAL 160G KVM PROMO V5 · SINGAPORE CN2 GIA,6C,8192M,160000G,2500M,2000T,季付,479.99,USD 美元
搬瓦工,SPECIAL 160G KVM PROMO V5 · SINGAPORE CN2 GIA,6C,8192M,160000G,2500M,2000T,半年付,888.99,USD 美元
搬瓦工,SPECIAL 160G KVM PROMO V5 · SINGAPORE CN2 GIA,6C,8192M,160000G,2500M,2000T,年付,1665.99,USD 美元
搬瓦工,SPECIAL 320G KVM PROMO V5 · SINGAPORE CN2 GIA,8C,16384M,320000G,2500M,4000T,月付,329.99,USD 美元
搬瓦工,SPECIAL 320G KVM PROMO V5 · SINGAPORE CN2 GIA,8C,16384M,320000G,2500M,4000T,季付,929.99,USD 美元
搬瓦工,SPECIAL 320G KVM PROMO V5 · SINGAPORE CN2 GIA,8C,16384M,320000G,2500M,4000T,半年付,1739.99,USD 美元
搬瓦工,SPECIAL 320G KVM PROMO V5 · SINGAPORE CN2 GIA,8C,16384M,320000G,2500M,4000T,年付,3199,USD 美元
搬瓦工,SPECIAL 640G KVM PROMO V5 · SINGAPORE CN2 GIA,10C,32768M,640000G,5000M,6000T,月付,549.99,USD 美元
搬瓦工,SPECIAL 640G KVM PROMO V5 · SINGAPORE CN2 GIA,10C,32768M,640000G,5000M,6000T,季付,1569.99,USD 美元
搬瓦工,SPECIAL 640G KVM PROMO V5 · SINGAPORE CN2 GIA,10C,32768M,640000G,5000M,6000T,半年付,2939.99,USD 美元
搬瓦工,SPECIAL 640G KVM PROMO V5 · SINGAPORE CN2 GIA,10C,32768M,640000G,5000M,6000T,年付,5549.99,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · SINGAPORE CN2 GIA,12C,65536M,1280000G,5000M,8000T,月付,1059.99,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · SINGAPORE CN2 GIA,12C,65536M,1280000G,5000M,8000T,季付,2999.99,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · SINGAPORE CN2 GIA,12C,65536M,1280000G,5000M,8000T,半年付,5559.99,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · SINGAPORE CN2 GIA,12C,65536M,1280000G,5000M,8000T,年付,10559.99,USD 美元
